Gene	Protein	Uniprot id	Pfam ID	Start End domain	Part of evolutionary analysis	classification (Fig 1C)
ENSG00000111696	ENSP00000376615	Q86UY8	PF05761	85-528	0	Viral-binding non-PRDs
ENSG00000163218	ENSP00000352672	Q96LB8	PF01510;PF01510	73-213;229-359	0	Non-PRD proteins
ENSG00000079819	ENSP00000338481	O43491	PF09379;PF09380;PF00373;PF04382;PF05902;PF08736	222-285;413-503;300-409;630-676;892-998;507-550	0	Viral-binding non-PRDs
ENSG00000177679	ENSP00000480851	A0A087WXA3	PF08312;PF15230	55-98;525-589	0	Non-PRD proteins
ENSG00000101888	ENSP00000218004	Q9NPJ8	PF02136	17-136	0	PRD proteins
ENSG00000171611	ENSP00000477815	A0A087WTE9	PF15028	20-145	0	Non-PRD proteins
ENSG00000224608	ENSP00000405178	Q2L6G2	PF07654;PF00129;PF06623	211-290;25-203;337-362	0	Non-PRD proteins
ENSG00000244624	ENSP00000335503	Q3LI63	PF11759	1-50	0	Non-PRD proteins
ENSG00000189056	ENSP00000388446	J3KQ66	PF18720;PF02014	3230-3259;41-170	1	Non-PRD proteins
ENSG00000229665	ENSP00000438757	P86479	PF15708	1-221	0	Non-PRD proteins
ENSG00000123268	ENSP00000262053	P18846	PF00170;PF02173	211-270;43-83	0	Viral-binding non-PRDs
ENSG00000085552	ENSP00000357073	Q9P2J2	PF07679;PF13927;PF13927;PF00041;PF00041	136-223;226-305;417-490;509-596;625-708	1	Non-PRD proteins
ENSG00000264230	ENSP00000462716	A0A075B752	PF00191;PF00191;PF00191;PF00191	66-128;135-200;219-285;295-360	0	Non-PRD proteins
ENSG00000131482	ENSP00000253801	P35575	PF01569	57-204	0	Non-PRD proteins
ENSG00000138593	ENSP00000453854	Q93073	PF01248	702-804	1	Non-PRD proteins
ENSG00000083457	ENSP00000263087	P38570	PF00092;PF08441;PF01839;PF01839;PF00357	202-381;676-965;514-551;577-618;1148-1162	0	PRD proteins
ENSG00000156469	ENSP00000287025	Q96E29	PF02536	125-399	1	Viral-binding non-PRDs
ENSG00000156873	ENSP00000329968	J3KNN3	PF00069	24-295	0	PRD proteins
ENSG00000166068	ENSP00000299084	Q7Z699	PF00568;PF05210	10-120;332-441	1	PRD proteins
ENSG00000166946	ENSP00000300213	O95273	PF13324	55-320	1	Viral-binding non-PRDs
ENSG00000161634	ENSP00000406773	P81605	PF15291	19-106	0	Viral-binding non-PRDs
ENSG00000205208	ENSP00000368503	Q504U0	PF15725	5-87	1	Non-PRD proteins
ENSG00000131051	ENSP00000253363	Q14498	PF15519;PF00076;PF00076	341-442;155-223;252-322	0	Inferred viral-binding PRDs
ENSG00000065320	ENSP00000173229	O95631	PF00053;PF00053;PF00053;PF00055;PF01759	285-338;341-401;404-451;51-283;488-594	0	Non-PRD proteins
ENSG00000115541	ENSP00000233893	P61604	PF00166	8-100	0	Viral-binding non-PRDs
ENSG00000099624	ENSP00000464863	P30049	PF02823	38-119	1	Viral-binding non-PRDs
ENSG00000115875	ENSP00000325905	Q16629	PF00076	13-78	0	viral-binding PRDs
ENSG00000165556	ENSP00000370408	Q99626	PF00046;PF04731	187-243;13-179	0	PRD proteins
ENSG00000281950	ENSP00000488772	A0A0J9YYB4	PF11357;PF11357	194-304;298-348	0	Non-PRD proteins
ENSG00000249853	ENSP00000427888	Q8IZT8	PF00685	90-339	1	Non-PRD proteins
ENSG00000188199	ENSP00000394623	A6NNL0	PF12881	136-875	0	Non-PRD proteins
ENSG00000204237	ENSP00000363873	Q5BKU9	PF09791	78-118	0	Non-PRD proteins
ENSG00000139990	ENSP00000341351	Q96JK2	PF00400;PF00400;PF00400	42-82;133-171;325-361	1	Inferred viral-binding PRDs
ENSG00000020426	ENSP00000261245	P51948	PF17121;PF06391	3-51;53-250	1	Viral-binding non-PRDs
ENSG00000138639	ENSP00000378611	Q8N264	PF00169;PF00620	20-124;153-304	1	PRD proteins
ENSG00000137709	ENSP00000260264	Q9UKI9	PF00157;PF00046	186-257;282-338	1	PRD proteins
ENSG00000065150	ENSP00000261574	O00410	PF02985;PF02985;PF18829;PF18816;PF18808	400-430;906-936;765-874;1005-1061;268-357	1	viral-binding PRDs
ENSG00000112357	ENSP00000315680	O00628	PF00400;PF00400;PF00400;PF00400	58-96;101-141;145-184;232-271	1	PRD proteins
ENSG00000149742	ENSP00000279178	Q8IVM8	PF07690	116-485	0	Viral-binding non-PRDs
ENSG00000173531	ENSP00000414287	G3XAK1	PF00089;PF00024;PF00051;PF00051;PF00051;PF00051	498-718;30-120;124-200;205-282;297-375;384-462	1	PRD proteins
ENSG00000182749	ENSP00000502514	Q86WK9	PF03006	66-290	0	Non-PRD proteins
ENSG00000115652	ENSP00000283148	Q8NBZ7	PF16363;PF11803	92-387;4-78	1	Viral-binding non-PRDs
ENSG00000173530	ENSP00000310263	Q9UBN6	PF00020;PF00020	99-139;141-180	0	Viral-binding non-PRDs
ENSG00000213672	ENSP00000294129	Q9NZQ3	PF00018;PF09431	3-50;547-683	1	Inferred viral-binding PRDs
ENSG00000172590	ENSP00000347277	Q86TS9	PF18699	24-114	0	Viral-binding non-PRDs
ENSG00000277356	ENSP00000480247	Q6H2H3	PF00047;PF00047	32-115;132-213	0	Non-PRD proteins
ENSG00000148795	ENSP00000492651	A0A1W2PRK7	PF00067	28-494	1	Non-PRD proteins
ENSG00000243725	ENSP00000360329	O95801	PF18972	259-377	1	Viral-binding non-PRDs
ENSG00000204099	ENSP00000320318	Q8WWR8	PF13088	34-279	0	Non-PRD proteins
ENSG00000184752	ENSP00000330737	Q9UI09	PF05071	36-139	0	Viral-binding non-PRDs
ENSG00000152763	ENSP00000360065	Q5VTH9	PF00400;PF00400	694-733;738-775	0	Inferred viral-binding PRDs
ENSG00000105146	ENSP00000302898	Q9UQB9	PF00069	43-293	0	PRD proteins
ENSG00000283952	ENSP00000491750	A0A1W2PPV4	PF13426	1-75	0	Non-PRD proteins
ENSG00000112473	ENSP00000363807	Q92504	PF02535	132-466	1	Viral-binding non-PRDs
ENSG00000186635	ENSP00000377233	Q96P48	PF00536;PF00788;PF00169;PF00169;PF00169;PF00620;PF01412	7-68;1172-1261;328-419;744-849;1275-1396;971-1123;535-653	1	viral-binding PRDs
ENSG00000176490	ENSP00000325836	O95057	PF00071	9-169	1	Non-PRD proteins
ENSG00000179119	ENSP00000337991	Q68D10	PF08243	581-682	0	Non-PRD proteins
ENSG00000271271	ENSP00000475028	Q9Y4X1	PF00201	21-525	0	Non-PRD proteins
ENSG00000242852	ENSP00000380840	Q8N972	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	140-162;168-190;196-218;224-246;252-274;308-330;336-358;364-386;476-498;3-44	0	Non-PRD proteins
ENSG00000262814	ENSP00000333837	P52815	PF00542;PF16320	130-198;63-116	0	Viral-binding non-PRDs
ENSG00000163808	ENSP00000324020	Q9NS87	PF00225;PF15908	32-363;1266-1388	1	Non-PRD proteins
ENSG00000158828	ENSP00000364204	Q9BXM7	PF00069	264-509	1	PRD proteins
ENSG00000204388	ENSP00000364801	P0DMV9	PF00012	6-612	0	Viral-binding non-PRDs
ENSG00000155011	ENSP00000285311	Q9UBU2	PF04706	77-128	0	Non-PRD proteins
ENSG00000134250	ENSP00000256646	Q04721	PF12661;PF12661;PF12661;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF00008;PF07645;PF07645;PF07645;PF07645;PF00066;PF00066;PF00066;PF06816;PF07684;PF11936;PF12796;PF12796	230-252;347-367;579-599;68-100;109-141;148-178;264-294;379-411;460-490;498-528;536-566;611-641;649-678;686-721;761-791;799-829;837-869;915-945;953-983;988-1021;1029-1059;1067-1097;1116-1145;1153-1183;1191-1221;1229-1260;1308-1341;182-221;298-338;415-454;873-910;1422-1456;1463-1497;1500-1535;1539-1594;1618-1674;2381-2444;1881-1974;1954-2042	1	Viral-binding non-PRDs
ENSG00000005513	ENSP00000293894	P57073	PF00505;PF12444	102-170;18-89	1	Non-PRD proteins
ENSG00000185158	ENSP00000332536	J3QSU1	PF13855;PF14914;PF15779;PF15779	608-666;820-964;321-391;386-464	0	Non-PRD proteins
ENSG00000187950	ENSP00000326708	Q7RTY7	PF00089;PF00089;PF00431;PF00431	47-291;575-807;419-528;846-954	0	PRD proteins
ENSG00000273899	ENSP00000482349	Q9UGY1	PF09805	5-148	1	Viral-binding non-PRDs
ENSG00000133704	ENSP00000256079	O15397	PF03810;PF08506	22-102;173-449	1	Viral-binding non-PRDs
ENSG00000055955	ENSP00000417824	B7ZKJ8	PF08487;PF00092;PF06668	35-146;274-456;771-935	0	viral-binding PRDs
ENSG00000180257	ENSP00000350295	Q0VGE8	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	228-251;285-307;313-335;341-363;369-391;397-419;425-447;453-475;481-503;509-531;537-559;565-587;593-615;621-643;23-64	0	Non-PRD proteins
ENSG00000132854	ENSP00000360195	Q5T7N3	PF13857;PF12075;PF00023	915-970;24-62;823-856	1	PRD proteins
ENSG00000215012	ENSP00000386111	Q7L3V2	PF16297	84-183	0	Non-PRD proteins
ENSG00000175600	ENSP00000486291	Q9HAC7	PF02515	48-415	0	Non-PRD proteins
ENSG00000125845	ENSP00000368104	P12643	PF00688;PF00019	35-267;295-395	0	Non-PRD proteins
ENSG00000143847	ENSP00000356209	B1APN9	PF07647;PF00536;PF00536	1030-1100;828-893;943-1007	1	Non-PRD proteins
ENSG00000109265	ENSP00000423366	Q6ZU35	PF15262	45-172	0	Non-PRD proteins
ENSG00000214029	ENSP00000499213	A0A494C1V2	PF13465;PF13912;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	502-527;319-345;348-370;376-398;404-426;432-454;460-482;42-83	0	Non-PRD proteins
ENSG00000284691	ENSP00000493097	B7ZLF3	PF00096;PF00096;PF00096;PF00096;PF00096	37-59;68-90;96-118;124-146;166-188	0	Non-PRD proteins
ENSG00000044090	ENSP00000438788	Q14999	PF11515;PF03256;PF00888	360-434;831-990;945-1524	0	Viral-binding non-PRDs
ENSG00000222009	ENSP00000395461	C9JJ37	PF07707;PF00651	133-237;19-128	0	Non-PRD proteins
ENSG00000115159	ENSP00000386626	P43304	PF01266;PF16901	71-441;462-588	1	Viral-binding non-PRDs
ENSG00000010610	ENSP00000011653	P01730	PF09191;PF05790;PF05790;PF12104;PF00047	206-316;125-203;317-390;425-453;24-123	1	Viral-binding non-PRDs
ENSG00000145990	ENSP00000368589	Q9NXC2	PF01408;PF02894	4-118;132-362	1	Non-PRD proteins
ENSG00000122025	ENSP00000241453	P36888	PF07714;PF00047	610-943;255-345	1	PRD proteins
ENSG00000034713	ENSP00000037243	P60520	PF02991	13-116	0	PRD proteins
ENSG00000214194	ENSP00000490095	A4D0T7	PF15873	1-54	0	Non-PRD proteins
ENSG00000124496	ENSP00000439689	Q05GC8	PF13912;PF13912;PF13912;PF01448	513-535;1038-1057;1105-1131;801-855	0	Non-PRD proteins
ENSG00000185046	ENSP00000449629	Q7Z6G8	PF00536;PF00536;PF00640;PF13857;PF12796;PF12796;PF12796	808-874;882-946;1062-1192;48-93;7-125;114-189;185-256	0	viral-binding PRDs
ENSG00000156502	ENSP00000352678	Q8IYB8	PF00271;PF18114;PF12513;PF18147	352-475;62-179;625-672;556-598	1	Non-PRD proteins
ENSG00000198271	ENSP00000340546	Q9BYR2	PF13885;PF13885;PF13885;PF13885	1-43;35-79;75-119;105-174	0	Non-PRD proteins
ENSG00000146005	ENSP00000274710	Q9BQI7	PF15410;PF01369	514-625;296-464	1	Non-PRD proteins
ENSG00000160161	ENSP00000467413	K7EPJ4	PF00090;PF13330;PF13620;PF13927	156-202;65-149;216-293;297-369	0	Non-PRD proteins
ENSG00000135441	ENSP00000447537	P78537	PF06320	33-146	0	Viral-binding non-PRDs
ENSG00000100522	ENSP00000496934	Q96EK6	PF00583	50-170	0	Non-PRD proteins
ENSG00000084754	ENSP00000438039	H0YFD6	PF02737;PF00725;PF00378	363-542;544-639;44-242	1	Viral-binding non-PRDs
ENSG00000214063	ENSP00000386899	J3KQ42	PF00335	28-248	0	Non-PRD proteins
ENSG00000138622	ENSP00000261917	Q9Y3Q4	PF00027;PF00520;PF08412	613-696;262-525;218-261	0	Non-PRD proteins
ENSG00000151615	ENSP00000281321	Q12837	PF00157;PF00046	253-327;346-402	0	PRD proteins
ENSG00000137204	ENSP00000361666	Q9Y694	PF07690	75-481	0	Viral-binding non-PRDs
ENSG00000117834	ENSP00000236495	Q2M3M2	PF00474	67-496	1	Non-PRD proteins
ENSG00000197745	ENSP00000351395	Q6XE38	PF01099	1-83	0	Viral-binding non-PRDs
ENSG00000174837	ENSP00000311545	Q14246	PF12662;PF12662;PF07645;PF07645;PF00002;PF01825	53-83;241-271;132-170;172-213;599-840;548-590	0	Non-PRD proteins
ENSG00000117262	ENSP00000319673	B7ZAQ6	PF12430;PF12537	276-446;140-207	1	Viral-binding non-PRDs
ENSG00000197779	ENSP00000341151	P51508	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	330-352;358-380;386-408;414-436;442-464;470-492;498-520;526-548;554-576;582-604;610-632;638-660;20-61	0	Non-PRD proteins
ENSG00000142694	ENSP00000270824	Q9NVM1	PF14851	7-153	1	Viral-binding non-PRDs
ENSG00000131095	ENSP00000492432	A0A1W2PR46	PF00038;PF04732	68-376;1-67	0	Viral-binding non-PRDs
ENSG00000128000	ENSP00000391641	Q9Y6R6	PF13912;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	753-769;221-243;249-271;277-299;333-355;361-383;389-411;417-439;473-495;501-523;557-579;641-663;669-691;697-719;5-46	0	Non-PRD proteins
ENSG00000169228	ENSP00000377235	Q969Q5	PF00071	9-174	1	Viral-binding non-PRDs
ENSG00000153107	ENSP00000339109	Q9H1A4	PF12859;PF18122	150-207;1736-1895	1	Viral-binding non-PRDs
ENSG00000109519	ENSP00000264954	Q9HAV7	PF01025	32-215	0	Viral-binding non-PRDs
ENSG00000174371	ENSP00000311873	Q9UQ84	PF00752;PF00867	1-99;138-225	1	Non-PRD proteins
ENSG00000117407	ENSP00000391998	Q5T4W7	PF00019	122-218	0	Non-PRD proteins
ENSG00000183166	ENSP00000378690	Q9BXU9	PF13499	38-102	0	PRD proteins
ENSG00000116833	ENSP00000356331	O00482	PF00105;PF00104	84-153;330-523	1	PRD proteins
ENSG00000111640	ENSP00000229239	P04406	PF00044;PF02800	4-105;157-314	0	Viral-binding non-PRDs
ENSG00000285382	ENSP00000493768	A0A2R8Y455	PF07258	131-187	0	Non-PRD proteins
ENSG00000111912	ENSP00000357341	Q8NI08	PF01476;PF07534	116-158;806-942	1	Viral-binding non-PRDs
ENSG00000256223	ENSP00000248211	P21506	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	265-287;293-315;321-343;349-371;377-399;405-427;433-455;461-483;489-511;517-539;13-54	0	Non-PRD proteins
ENSG00000277058	ENSP00000478017	B7ZW38	PF00076	18-81	0	PRD proteins
ENSG00000110090	ENSP00000265641	P50416	PF00755;PF16484	171-762;1-47	1	Viral-binding non-PRDs
ENSG00000116353	ENSP00000263702	Q9BV79	PF00107;PF08240	195-332;70-141	0	Viral-binding non-PRDs
ENSG00000196371	ENSP00000351602	P22083	PF00852;PF17039	353-528;186-331	0	Non-PRD proteins
ENSG00000067560	ENSP00000503282	A0A024R324	PF00071	7-180	0	Viral-binding non-PRDs
ENSG00000142102	ENSP00000387099	E7EMA9	PF03632;PF03632	281-423;439-522	1	Non-PRD proteins
ENSG00000174579	ENSP00000311827	Q9HCI7	PF16685;PF16682	42-111;455-509	1	Non-PRD proteins
ENSG00000185201	ENSP00000382714	Q01629	PF04505	53-120	0	Non-PRD proteins
ENSG00000176678	ENSP00000326272	Q12952	PF00250	48-134	0	Non-PRD proteins
ENSG00000169026	ENSP00000384616	Q6UXD7	PF07690	32-396	1	Non-PRD proteins
ENSG00000136783	ENSP00000363899	Q9UFN0	PF07978;PF07978	37-136;146-245	0	Non-PRD proteins
ENSG00000223614	ENSP00000485547	P0CB33	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	213-234;241-263;269-291;297-319;325-347;381-403;15-56	0	Non-PRD proteins
ENSG00000101134	ENSP00000262593	Q9P104	PF02174	135-232	1	PRD proteins
ENSG00000066583	ENSP00000173527	Q96CN7	PF00857	115-264	0	Non-PRD proteins
ENSG00000131979	ENSP00000378890	P30793	PF01227	71-249	1	Non-PRD proteins
ENSG00000144043	ENSP00000272438	Q6UWH6	PF04148	1-186	0	Non-PRD proteins
ENSG00000196748	ENSP00000353639	Q6UWE3	PF15083	19-100	0	Non-PRD proteins
ENSG00000104626	ENSP00000250263	Q8IV48	PF00929;PF02037	131-306;76-110	0	Viral-binding non-PRDs
ENSG00000144671	ENSP00000396283	Q9Y267	PF00083	168-572	0	Non-PRD proteins
ENSG00000082482	ENSP00000394033	O95069	PF07885;PF07885	117-197;233-313	1	Non-PRD proteins
ENSG00000229353	ENSP00000387438	A0A140T8Z8	PF00147;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041	3078-3287;136-215;233-314;336-416;447-527;549-629;652-730;748-827;851-931;955-1034;1062-1142;1170-1250;1270-1349;1378-1458;1486-1566;1597-1677;1703-1783;1811-1891;1908-1988;2016-2096;2113-2193;2219-2299;2315-2393;2407-2488;2501-2582;2609-2689;2708-2793;2809-2888;2898-2978;2986-3064	0	Viral-binding non-PRDs
ENSG00000078579	ENSP00000180166	Q9NP95	PF00167	65-191	1	Non-PRD proteins
ENSG00000139438	ENSP00000443292	Q5U5X8	PF15258	30-161	0	Non-PRD proteins
ENSG00000108830	ENSP00000466680	P52198	PF00071	9-182	1	Non-PRD proteins
ENSG00000253649	ENSP00000497613	A0A3B3ISV0	PF00089	41-265	0	PRD proteins
ENSG00000180483	ENSP00000365492	Q8N690	PF13841	27-56	0	Non-PRD proteins
ENSG00000070785	ENSP00000353575	Q9NR50	PF12804	5-246	0	Viral-binding non-PRDs
ENSG00000136695	ENSP00000376896	Q9UBH0	PF00340	38-151	0	Non-PRD proteins
ENSG00000006468	ENSP00000384085	B5MCT2	PF00178;PF04621	350-429;21-347	0	Non-PRD proteins
ENSG00000158578	ENSP00000497236	P22557	PF09029;PF00155	52-100;189-536	0	Non-PRD proteins
ENSG00000160191	ENSP00000291539	O76083	PF00233	311-542	1	Non-PRD proteins
ENSG00000181291	ENSP00000487800	Q6IEE7	PF15705;PF15706;PF16070	45-176;865-943;449-795	1	Non-PRD proteins
ENSG00000242950	ENSP00000474984	Q9UQF0	PF00429	56-477	0	Non-PRD proteins
ENSG00000110057	ENSP00000227471	Q9H1C4	PF05978	115-194	1	Viral-binding non-PRDs
ENSG00000091136	ENSP00000222399	P07942	PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00055	271-332;335-395;398-455;458-507;510-555;773-818;821-866;867-914;917-973;976-1025;1028-1081;1084-1131;1132-1182;35-269	1	Viral-binding non-PRDs
ENSG00000145700	ENSP00000427262	D6RJB7	PF13857;PF18755;PF00023;PF00023;PF12796	1264-1318;1736-1838;521-553;554-586;1216-1308	1	PRD proteins
ENSG00000176547	ENSP00000321419	Q8NH37	PF13853	29-301	0	Non-PRD proteins
ENSG00000141198	ENSP00000460823	O75674	PF00790;PF03127	9-150;213-289	1	viral-binding PRDs
ENSG00000100138	ENSP00000498157	A0A3B3IUA2	PF01248	164-258	0	Viral-binding non-PRDs
ENSG00000205329	ENSP00000493034	Q9NZP0	PF13853	28-305	0	Non-PRD proteins
ENSG00000127249	ENSP00000339182	Q4VNC1	PF00122;PF12409;PF00690;PF00702	257-464;16-141;152-217;480-765	0	Non-PRD proteins
ENSG00000198821	ENSP00000354782	P20963	PF02189;PF02189;PF02189;PF11628	69-88;108-128;139-158;28-58	1	Viral-binding non-PRDs
ENSG00000226288	ENSP00000308764	Q8NH67	PF13853	61-341	0	Non-PRD proteins
ENSG00000129484	ENSP00000250416	Q9UGN5	PF00644;PF02877;PF05406	376-577;232-362;115-195	0	Viral-binding non-PRDs
ENSG00000166925	ENSP00000300181	Q9Y3Q8	PF01166	326-381	0	Viral-binding non-PRDs
ENSG00000162408	ENSP00000366934	Q5SY16	PF16575	306-470	1	Viral-binding non-PRDs
ENSG00000125531	ENSP00000480914	Q9BVV2	PF17744	1-315	0	Non-PRD proteins
ENSG00000123342	ENSP00000313437	Q99542	PF00413;PF01471;PF00045;PF00045;PF00045	103-256;29-80;337-377;380-427;429-472	0	Non-PRD proteins
ENSG00000205356	ENSP00000404923	Q7Z6L1	PF06462;PF06462;PF06462;PF06462;PF06462;PF19193;PF06398;PF06398	210-239;954-983;999-1028;1045-1074;1088-1126;288-392;55-165;804-916	0	Non-PRD proteins
ENSG00000130699	ENSP00000252996	O00268	PF05236;PF07531	834-1082;592-683	0	Viral-binding non-PRDs
ENSG00000259823	ENSP00000466070	Q6UX82	PF00021	125-203	0	Non-PRD proteins
ENSG00000171631	ENSP00000377217	Q15077	PF00001	43-301	0	Non-PRD proteins
ENSG00000171557	ENSP00000384552	C9JC84	PF00147;PF08702	184-423;30-172	1	Viral-binding non-PRDs
ENSG00000078304	ENSP00000329009	Q13362	PF01603	27-437	0	Non-PRD proteins
ENSG00000206355	ENSP00000484259	A0A0G2JPU2	PF07111	115-861	0	Viral-binding non-PRDs
ENSG00000136939	ENSP00000259466	Q8NGR5	PF13853	32-308	0	Non-PRD proteins
ENSG00000103351	ENSP00000344392	J3KNW5	PF10234	14-283	0	Non-PRD proteins
ENSG00000162004	ENSP00000316851	H3BLT8	PF14739	54-165	0	Non-PRD proteins
ENSG00000081026	ENSP00000304604	Q5TCQ9	PF00625;PF00595;PF00595;PF00595;PF00595;PF00397;PF00397	122-196;410-490;725-807;851-935;1021-1100;295-324;341-370	1	Inferred viral-binding PRDs
ENSG00000177030	ENSP00000371846	O75398	PF01753;PF01342	504-540;197-272	1	viral-binding PRDs
ENSG00000004866	ENSP00000265437	Q9NRC1	PF04184	17-562	1	Non-PRD proteins
ENSG00000196139	ENSP00000401327	A0A0A0MSS8	PF00248	18-301	0	Viral-binding non-PRDs
ENSG00000102710	ENSP00000417510	Q8NEM7	PF12090;PF12090	61-161;154-228	0	Non-PRD proteins
ENSG00000119042	ENSP00000260926	Q9UPW6	PF16534;PF00046;PF02376;PF02376;PF16557	58-156;615-672;355-434;478-557;162-233	1	PRD proteins
ENSG00000160714	ENSP00000292211	Q7Z7E8	PF00179	255-410	1	PRD proteins
ENSG00000112578	ENSP00000230340	Q13895	PF05291	141-431	1	Viral-binding non-PRDs
ENSG00000184571	ENSP00000330031	Q7Z3Z3	PF02171;PF02170	578-868;292-428	0	Non-PRD proteins
ENSG00000154957	ENSP00000462383	J3KSA1	PF01352	42-72	0	Non-PRD proteins
ENSG00000134873	ENSP00000299339	P78369	PF00822	4-179	1	Viral-binding non-PRDs
ENSG00000186566	ENSP00000467556	Q9UKJ3	PF12171;PF01585	135-163;40-83	1	Viral-binding non-PRDs
ENSG00000027001	ENSP00000371607	Q99797	PF01432	254-699	1	Viral-binding non-PRDs
ENSG00000198570	ENSP00000355969	Q7Z3Z2	PF14473	5-133	0	Non-PRD proteins
ENSG00000074416	ENSP00000265052	A0A0C4DFN3	PF12146	49-286	1	Non-PRD proteins
ENSG00000105647	ENSP00000222254	O00459	PF00620;PF00017;PF00017;PF16454	125-263;330-405;622-696;428-596	1	viral-binding PRDs
ENSG00000184436	ENSP00000215742	Q9BT49	PF05485	5-93	0	Non-PRD proteins
ENSG00000175874	ENSP00000315203	Q8IUH2	PF13883	118-284	1	Non-PRD proteins
ENSG00000105784	ENSP00000337732	Q96NL0	PF02759	65-205	0	Non-PRD proteins
ENSG00000242685	ENSP00000414631	A0A140T9V7	PF07654;PF00993	159-238;71-148	0	Non-PRD proteins
ENSG00000276289	ENSP00000477875	A0A087WTH5	PF02060	5-129	0	Non-PRD proteins
ENSG00000158825	ENSP00000364212	P32320	PF00383	12-118	0	Non-PRD proteins
ENSG00000115825	ENSP00000234179	O94806	PF00130;PF00130;PF00069;PF00169	155-206;272-324;577-832;417-532	0	viral-binding PRDs
ENSG00000101981	ENSP00000218099	P00740	PF00089;PF00594;PF14670;PF00008	227-454;52-92;134-170;97-127	1	viral-binding PRDs
ENSG00000152213	ENSP00000282026	Q969Q4	PF00025	3-173	0	PRD proteins
ENSG00000155850	ENSP00000286298	P50443	PF00916;PF01740	108-518;569-715	1	Non-PRD proteins
ENSG00000100220	ENSP00000216038	Q9Y3I0	PF01139	68-505	0	Viral-binding non-PRDs
ENSG00000160868	ENSP00000337915	A0A499FJM4	PF00067	38-524	0	Non-PRD proteins
ENSG00000147100	ENSP00000465734	P36021	PF07690;PF07690	98-441;408-532	1	Non-PRD proteins
ENSG00000165478	ENSP00000298251	Q14CZ8	PF07686;PF13927	38-142;147-221	1	Non-PRD proteins
ENSG00000148700	ENSP00000348381	Q9UEY8	PF00596	139-321	1	Non-PRD proteins
ENSG00000105355	ENSP00000221957	O60664	PF03036	18-425	0	Viral-binding non-PRDs
ENSG00000078804	ENSP00000363942	Q8IXH6	PF14839	48-216	0	Non-PRD proteins
ENSG00000133116	ENSP00000369442	Q9UEF7	PF00232;PF00232;PF00232	57-381;378-506;515-953	0	Non-PRD proteins
ENSG00000167633	ENSP00000375608	P43629	PF00047;PF00047;PF00047	32-110;127-210;227-307	0	Viral-binding non-PRDs
ENSG00000187754	ENSP00000298181	Q7RTT5	PF09514	157-187	0	Non-PRD proteins
ENSG00000166897	ENSP00000385277	Q5R3F8	PF13855;PF13855	79-139;132-187	0	Non-PRD proteins
ENSG00000189180	ENSP00000304268	A0A0A0MR11	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	347-369;375-397;403-425;431-453;459-481;487-509;515-537;543-565;571-593;599-621;627-649;655-677;711-733;739-761;767-789;29-70	0	Non-PRD proteins
ENSG00000166851	ENSP00000300093	P53350	PF00069;PF00659;PF00659	53-305;418-479;516-583	0	viral-binding PRDs
ENSG00000162600	ENSP00000360270	Q96E52	PF01435	258-453	1	Viral-binding non-PRDs
ENSG00000134755	ENSP00000280904	Q02487	PF08758;PF00028;PF00028;PF00028;PF00028;PF01049	30-113;140-234;248-346;360-463;476-568;798-901	1	Non-PRD proteins
ENSG00000198520	ENSP00000440524	Q6PIY5	PF17741	1-268	0	Non-PRD proteins
ENSG00000182704	ENSP00000434847	Q8WUA8	PF13855;PF13855;PF13855	60-120;108-169;206-265	0	Non-PRD proteins
ENSG00000168140	ENSP00000306864	Q6EMK4	PF00008;PF13855;PF13855;PF13855	409-440;56-112;100-160;192-250	0	Non-PRD proteins
ENSG00000124767	ENSP00000362463	Q04760	PF00903	31-174	0	Non-PRD proteins
ENSG00000167220	ENSP00000300605	Q9H0R4	PF13344;PF13242	10-131;176-257	0	Non-PRD proteins
ENSG00000118432	ENSP00000358511	P21554	PF00001	133-397	0	Non-PRD proteins
